lead_hour,station,rmse,mae,r2,rmsle
1,mean,26.681843280792236,15.667804638544718,0.8845219565296963,0.4607795973618825
2,mean,30.174864451090496,17.779768387476604,0.8574573086902814,0.49967307100693387
3,mean,33.48445351918539,19.68915557861328,0.8293492805417193,0.5167910705010096
4,mean,36.95548884073893,21.761510372161865,0.795293288165522,0.5931808799505234
5,mean,39.67953109741211,23.298377354939777,0.7658279771439376,0.6005421330531439
6,mean,42.130148569742836,24.464877605438232,0.7375154554820775,0.612465480963389
7,mean,43.87794780731201,25.261393070220947,0.7157011208150386,0.6347739001115164
8,mean,45.098843256632485,26.00528844197591,0.700235367710157,0.6180313775936762
9,mean,46.553948402404785,26.82991949717204,0.6806557428020351,0.6363694121440252
10,mean,47.79797903696696,27.457486152648926,0.6635805246702099,0.6417470773061117
11,mean,49.47061316172282,28.65298843383789,0.6395963245166808,0.6426835507154465
12,mean,51.106870333353676,29.508782704671223,0.6155496358968052,0.6590562363465627
13,mean,52.0085973739624,30.29662831624349,0.6018900014492381,0.6836371570825577
14,mean,53.55665111541748,31.476646900177002,0.5778337956800034,0.694795548915863
15,mean,54.97279739379883,32.425595919291176,0.5553956901471104,0.7178547283013662
16,mean,56.578003883361816,33.531673431396484,0.529085853790746,0.7574278910954794
17,mean,57.988802909851074,34.58545939127604,0.5053418422330286,0.7720670054356257
18,mean,60.03263600667318,35.99806992212931,0.46930382059429127,0.803631658355395
19,mean,61.689853032430015,36.991024335225426,0.43970882076865797,0.838768407702446
20,mean,63.30683104197184,38.2688635190328,0.4103126990859732,0.8892700324455897
21,mean,64.31369431813557,39.583791414896645,0.391169650473497,0.9095981021722158
22,mean,65.74141025543213,40.26050217946371,0.3641605689694249,0.941763793428739
23,mean,67.33287970225017,41.48496723175049,0.3330974826931151,0.976365327835083
24,mean,68.69155820210774,42.45909849802653,0.30600526727132654,1.0212851415077846
