lead_hour,station,rmse,mae,r2,rmsle
1,mean,23.03660535812378,14.250068744023642,0.9190395145859185,0.4370897362629573
2,mean,30.80604076385498,18.406826098759968,0.857649908550694,0.5440128470460573
3,mean,34.89007043838501,21.031570434570312,0.8193523582117739,0.5555564363797506
4,mean,38.96541786193848,23.631949583689373,0.7756069369844886,0.617431585987409
5,mean,41.605724016825356,25.199228286743164,0.7441297204067897,0.5918811510006586
6,mean,44.004234313964844,26.849512259165447,0.7135699524024074,0.604602093497912
7,mean,45.055857022603355,27.19728724161784,0.7009943951524381,0.647935633858045
8,mean,47.255489667256676,28.356921195983887,0.6710017090675175,0.631704052289327
9,mean,48.899905840555824,29.36717923482259,0.648430999119398,0.6698747326930364
10,mean,48.96290874481201,29.439280033111572,0.6470652229805486,0.6518208384513855
11,mean,50.754198710123696,30.420370896657307,0.620848490372451,0.6891781687736511
12,mean,52.19490496317545,31.318549315134685,0.5997307705978567,0.6924105137586594
13,mean,53.768059730529785,32.14999850591024,0.575470295598968,0.7031335632006327
14,mean,54.7310536702474,33.17947292327881,0.5598095389227186,0.7381236652533213
15,mean,56.14013989766439,34.02385552724203,0.53655537564406,0.772007942199707
16,mean,57.09846433003744,34.883870442708336,0.5201826147353433,0.7787184417247772
17,mean,59.15574296315511,36.623797257741295,0.48449990990216607,0.8245145579179128
18,mean,61.113075256347656,37.53125540415446,0.44993209698529263,0.8394386917352676
19,mean,62.27529748280843,38.37433751424154,0.4283971385571408,0.860304077466329
20,mean,63.18372821807861,39.24970626831055,0.41211635808991764,0.8884267757336298
21,mean,64.69240633646648,40.59270985921224,0.38352076626567694,0.9069836139678955
22,mean,65.53480180104573,41.42747529347738,0.36742910193336037,0.9311900238196055
23,mean,67.31674989064534,42.462013244628906,0.33355230888895376,0.9633135745922724
24,mean,68.47659142812093,43.601084073384605,0.3101252498979473,0.9806473652521769
