lead_hour,station,rmse,mae,r2,rmsle
1,mean,27.18814293543498,16.107106765111286,0.880566192227023,0.5456913833816847
2,mean,30.048992315928142,17.62595510482788,0.8587940237687931,0.49455972015857697
3,mean,33.39273977279663,19.695836702982586,0.8298107760997722,0.560034915804863
4,mean,36.632825215657554,21.698235193888348,0.7987628665727753,0.561889628569285
5,mean,39.097591400146484,23.20720847447713,0.7722299034261605,0.6349072058995565
6,mean,41.157050450642906,24.420297145843506,0.748763369374835,0.6226703623930613
7,mean,42.939897537231445,25.369349161783855,0.7272350559813608,0.5995654165744781
8,mean,44.415915171305336,26.34333086013794,0.7085255001838168,0.6420965443054835
9,mean,45.88984902699789,27.2122966448466,0.6892778495268145,0.6259540766477585
10,mean,47.353342374165855,28.09783363342285,0.6694191385580796,0.6741702010234197
11,mean,48.8580109278361,28.91101010640462,0.6482708507998701,0.6799135953187943
12,mean,50.47709814707438,29.898577213287354,0.6246362087657356,0.690875897804896
13,mean,52.31998856862386,31.23382298151652,0.5968746598089613,0.6904594351847967
14,mean,53.71030330657959,32.22920799255371,0.5755331816339043,0.7172258446613947
15,mean,55.242124239603676,33.44435437520345,0.5507948557732284,0.7308630496263504
16,mean,56.694204012552895,34.18781900405884,0.5269091395230311,0.762801393866539
17,mean,58.181068102518715,35.46585416793823,0.501346501485436,0.7843878517548243
18,mean,59.781585375467934,36.38854853312174,0.473380084184252,0.8170277128616968
19,mean,61.29726473490397,37.69613552093506,0.44609861132278855,0.8413726290067037
20,mean,62.73856894175211,38.56043402353922,0.4198857470433394,0.8645700812339783
21,mean,64.20622444152832,39.928431828816734,0.39228598795412933,0.9002448320388794
22,mean,65.63496049245198,41.10412343343099,0.3647710300822458,0.921166847149531
23,mean,66.47295411427815,41.795863469441734,0.34859337304236643,0.9461967547734579
24,mean,67.67730458577473,42.638138135274254,0.32467022767416037,0.9615239799022675
