lead_hour,station,rmse,mae,r2,rmsle
1,mean,20.72620089848836,12.493092060089111,0.9353483900065559,0.4730810970067978
2,mean,29.17333682378133,17.006103992462158,0.874013791472683,0.5221951728065809
3,mean,34.892489433288574,20.711214860280354,0.820681953202456,0.5899624774853388
4,mean,38.39757887522379,22.889920552571613,0.7831477674325371,0.598946675658226
5,mean,41.3921807607015,24.89262358347575,0.7480541563221442,0.6262205243110657
6,mean,44.0681365331014,26.715017159779865,0.7149164698170868,0.6247280885775884
7,mean,45.863274574279785,28.03561242421468,0.6912771719887568,0.6792187492052714
8,mean,47.50675296783447,28.90498224894206,0.6687721018177483,0.6804453432559967
9,mean,48.7654333114624,29.561266899108887,0.6512433733955151,0.70643417040507
10,mean,50.25190416971842,30.328988393147785,0.6296119816364926,0.712348406513532
11,mean,51.03989601135254,30.96871026357015,0.6177746860032775,0.7241777578989664
12,mean,52.290300051371254,31.747920036315918,0.5986357811188988,0.7547536045312881
13,mean,53.36836624145508,32.597326119740806,0.5814433722793554,0.7838906745115916
14,mean,55.065704027811684,33.851612408955894,0.5544893425646161,0.8095960219701132
15,mean,56.51041126251221,34.72010898590088,0.5304074965971349,0.819946696360906
16,mean,57.65182399749756,35.3183536529541,0.5110521618881186,0.825168639421463
17,mean,59.0726572672526,36.374447663625084,0.48680688051869736,0.878555158774058
18,mean,60.58924802144369,37.566497802734375,0.4599722797030929,0.9171903431415558
19,mean,61.89512825012207,38.64020284016927,0.43637586958457697,0.9287371983130773
20,mean,62.92895317077637,39.43226909637451,0.4174302827965643,0.9184601505597433
21,mean,64.29465166727702,40.536880811055504,0.3920934335182448,0.9449048638343811
22,mean,64.97112782796223,40.95037047068278,0.37896609049454283,0.9598678350448608
23,mean,65.64272785186768,41.72021198272705,0.36616388315226583,0.9842422554890314
24,mean,67.00096638997395,42.733365058898926,0.34009236837237616,1.0228857845067978
