lead_hour,station,rmse,mae,r2,rmsle
1,mean,28.239016850789387,16.799725850423176,0.8786062542124234,0.4435735022028287
2,mean,31.453285535176594,18.49027442932129,0.8516577530416725,0.4663517673810323
3,mean,34.51987489064535,20.265055338541668,0.8227672802409054,0.502839575211207
4,mean,37.06420914332072,21.696586926778156,0.7966649012312849,0.5123733952641487
5,mean,39.74875545501709,23.350029309590656,0.7670204614180172,0.5354478160540262
6,mean,41.35155518849691,24.204606691996258,0.7479345950621802,0.5514491101106008
7,mean,43.058438301086426,25.094051043192547,0.7270775394656148,0.5667811036109924
8,mean,44.18723773956299,25.791093667348225,0.7127004051823569,0.6042935599883398
9,mean,45.2284132639567,26.424392700195312,0.69881707427953,0.6192336430152258
10,mean,46.03807767232259,26.945257981618244,0.6878857646835893,0.6117158631483713
11,mean,47.58809916178385,27.92953570683797,0.6664048134391402,0.6272429575522741
12,mean,49.08787822723389,28.992432753245037,0.6448781606357866,0.6481861174106598
13,mean,50.37779935201009,30.216334342956543,0.6258624726227853,0.6769842008749644
14,mean,52.60381635030111,31.716479142506916,0.591918349479687,0.7101686596870422
15,mean,54.21628475189209,32.91818920771281,0.5666352758373677,0.7369310259819031
16,mean,56.45531145731608,34.253142992655434,0.5295922192387763,0.7603883892297745
17,mean,57.99017588297526,35.533884366353355,0.5036093579371295,0.7959134032328924
18,mean,60.35138543446859,36.9649019241333,0.4614299560598323,0.8316710293292999
19,mean,62.33933703104655,38.1329034169515,0.42581336503227574,0.8549217929442724
20,mean,64.05932935078938,39.422173817952476,0.39329824515507067,0.8946321209271749
21,mean,65.5949977238973,40.27444394429525,0.36382365348227147,0.9194357842206955
22,mean,67.31734307607015,41.524112701416016,0.3303778806322332,0.9431558549404144
23,mean,68.81995519002278,42.80299154917399,0.2999184522389787,0.9822391917308172
24,mean,70.19082800547282,43.731176694234215,0.27311403833827086,0.9902941783269247
