lead_hour,station,rmse,mae,r2,rmsle
1,mean,26.99721050262451,16.407644271850586,0.8886716179442719,0.45769498745600384
2,mean,30.67297871907552,18.20060928662618,0.8593608394600692,0.48056656618913013
3,mean,34.05451742808024,20.176289558410645,0.8282469467098087,0.5024342412749926
4,mean,36.93239148457845,21.708110173543293,0.7988645676034382,0.5244363471865654
5,mean,39.222867012023926,22.990124861399334,0.7736231342622865,0.5446292410294215
6,mean,40.9822161992391,23.88553778330485,0.752941322860694,0.555493637919426
7,mean,42.762325604756676,24.76657724380493,0.7309626948237572,0.5720746020476023
8,mean,43.98463408152262,25.358717759450276,0.7156377994841012,0.5749999831120173
9,mean,45.27758248647054,26.21555169423421,0.698497602747525,0.5926879098018011
10,mean,46.53993447621664,27.008622646331787,0.6809488696415547,0.6117973625659943
11,mean,48.70972887674967,28.32839298248291,0.6504177298155459,0.6327727983395258
12,mean,50.60861015319824,29.577544848124187,0.6221357680878187,0.6630528668562571
13,mean,52.121206283569336,30.63608185450236,0.5999282755396541,0.6815334558486938
14,mean,54.497989336649574,32.091614723205566,0.5626224091854946,0.7225818683703741
15,mean,55.82853476206461,33.218550523122154,0.5402769870156264,0.7407971272865931
16,mean,57.84567356109619,34.49102179209391,0.5066721441216643,0.7800478587547938
17,mean,59.72107696533203,35.799187819163,0.4739267916956397,0.8081425776084264
18,mean,61.83875846862793,36.882513682047524,0.4355946698654585,0.8361764003833135
19,mean,63.19287141164144,38.03983020782471,0.41051768779318515,0.8912908434867859
20,mean,64.45324516296387,39.13943640391032,0.3869851326430671,0.8930948823690414
21,mean,66.23386033376057,40.17747529347738,0.35269505636029846,0.9257450650135676
22,mean,67.76607449849446,41.31974792480469,0.3217530780995923,0.9333012749751409
23,mean,69.56438954671223,42.64179229736328,0.2860625342679752,0.9834409306446711
24,mean,70.79492855072021,43.74262364705404,0.2608276252549492,1.004973943034808
