lead_hour,station,rmse,mae,r2,rmsle
1,mean,21.60784689585368,12.977541128794352,0.9304864304025671,0.55323193470637
2,mean,29.623294194539387,17.03097176551819,0.8704226690230442,0.5346715499957403
3,mean,35.10369141896566,20.640981674194336,0.8182708648111724,0.5757331897815069
4,mean,39.0332727432251,23.073955535888672,0.7756435587728082,0.5996344735225042
5,mean,42.29616069793701,25.536285400390625,0.736560331803136,0.6231668690840403
6,mean,44.94453493754069,27.37127463022868,0.7025216112585545,0.6351426045099894
7,mean,46.49536736806234,27.725754578908283,0.6820592146867487,0.6486888031164805
8,mean,48.24334748586019,29.214836756388348,0.6577864580661802,0.642084002494812
9,mean,48.11563046773275,28.663648287455242,0.659561094225499,0.6667820066213608
10,mean,50.55808703104655,30.511452674865723,0.6232109071251802,0.6649493376413981
11,mean,51.980959256490074,31.61365493138631,0.6024781130547779,0.6971051643292109
12,mean,53.05903561909994,31.934045950571697,0.5856063090906506,0.7246028830607733
13,mean,54.276580492655434,32.4448987642924,0.5666159173970038,0.7696931858857473
14,mean,55.86975638071696,33.36440006891886,0.5411646860640592,0.8009355713923773
15,mean,56.8475866317749,34.388862768809,0.5239657395476457,0.8122601807117462
16,mean,58.99617958068848,35.54284779230753,0.4876715559045138,0.8453849951426188
17,mean,60.42230415344238,36.34001239140829,0.4628241306707957,0.8976026972134908
18,mean,62.51829592386881,38.23313601811727,0.4247280162891623,0.865568478902181
19,mean,63.63177998860677,38.85859680175781,0.40428201359793237,0.9090844740470251
20,mean,64.73112456003825,39.86719226837158,0.3829190375054157,0.924044132232666
21,mean,66.73269653320312,41.15159352620443,0.3442670345140603,1.0036375969648361
22,mean,67.83902231852214,42.13361676534017,0.3223595447498421,0.9665868083635966
23,mean,68.39620431264241,42.60078970591227,0.31153431893035183,0.9983506798744202
24,mean,69.27603340148926,43.30477809906006,0.2935286016676238,1.005319356918335
