lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.634257316589355,9.48166592915853,0.9535813600327739,0.3272639686862628
2,mean,26.239831924438477,14.953817049662272,0.8981860380822474,0.51845816274484
3,mean,30.680191198984783,17.27541422843933,0.8615949902527297,0.46152013540267944
4,mean,34.10777839024862,19.38433829943339,0.8292712976024724,0.4840724989771843
5,mean,36.75076913833618,20.980740070343018,0.8020468607301235,0.508522555232048
6,mean,38.84745788574219,22.321356932322185,0.778814415048783,0.5208336189389229
7,mean,40.561228116353355,23.39776372909546,0.7588769682775017,0.5672966887553533
8,mean,41.90226173400879,24.38280200958252,0.7426613555300555,0.556291272242864
9,mean,43.24533208211263,25.14863681793213,0.7256642938336003,0.5593966792027155
10,mean,44.79907385508219,26.04685052235921,0.7057334758884709,0.5826714982589086
11,mean,45.966892878214516,27.068434238433838,0.6900892973282531,0.6061743348836899
12,mean,47.95336055755615,28.35851748784383,0.6628685286794205,0.6292733798424403
13,mean,49.49804496765137,29.509246985117596,0.6408074756118406,0.6667103866736094
14,mean,51.18818378448486,30.523671944936115,0.6158483203899111,0.6897046764691671
15,mean,53.14183044433594,31.938568751017254,0.5861235521841399,0.7271957447131475
16,mean,55.030104637145996,32.873157342274986,0.5560791344994938,0.7579843550920486
17,mean,56.29629135131836,33.949710528055824,0.5352247055038992,0.7746602644522985
18,mean,57.32768948872884,34.67369922002157,0.5177141833187746,0.7933566917975744
19,mean,59.369626681009926,36.1837485631307,0.48262098506068174,0.8431796928246816
20,mean,60.52869256337484,36.96154832839966,0.4623405669661511,0.8590176999568939
21,mean,61.925936698913574,38.12910397847494,0.43720775545143403,0.8827168494462967
22,mean,63.21212673187256,39.045323053995766,0.4135450737507869,0.9156902184089025
23,mean,64.6226037343343,40.22809282938639,0.38703670545890123,0.9382515450318655
24,mean,65.41312948862712,41.14045778910319,0.37195467809235994,0.9591340372959772
