lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.967992305755615,10.187326510747274,0.9520056384969617,0.33763570338487625
2,mean,26.31984233856201,14.817302465438843,0.8976025797418664,0.4543503075838089
3,mean,31.268510500590008,17.80029559135437,0.8561894810518887,0.4766014739871025
4,mean,34.981611251831055,20.132377465565998,0.8203143928737258,0.49471644312143326
5,mean,37.61686340967814,21.727946122487385,0.7924711025598326,0.5313216596841812
6,mean,40.088598092397056,23.26251490910848,0.7645108210714041,0.5492920974890391
7,mean,41.9740374883016,24.53090000152588,0.7417931195210906,0.5683064957459768
8,mean,43.32404772440592,25.5353905359904,0.7247711263338322,0.5602455735206604
9,mean,44.2871888478597,26.286598046620686,0.7121048007425741,0.5880013753970464
10,mean,46.09726142883301,27.57210397720337,0.687881237636823,0.6118303338686625
11,mean,47.53487968444824,28.70809030532837,0.6684016135222558,0.6277137100696564
12,mean,49.78315671284994,29.86863629023234,0.6367418328613411,0.6490764717260996
13,mean,51.02058633168539,30.895898183186848,0.6183399046477004,0.6734079867601395
14,mean,53.32599067687988,32.24517202377319,0.5836090176669158,0.7041437327861786
15,mean,54.87603155771891,33.5483972231547,0.5588787772746914,0.7298157960176468
16,mean,56.37738863627116,34.49725151062012,0.5343530453181895,0.7582279940446218
17,mean,57.61621125539144,35.94155009587606,0.5131239618327154,0.7874894688526789
18,mean,60.46205838521322,37.802093823750816,0.46419724007257773,0.8333687136570612
19,mean,61.17332776387533,38.39565102259318,0.45084177366345773,0.8565625101327896
20,mean,63.29890696207682,40.0176165898641,0.4121556475596619,0.8924552748600642
21,mean,64.24389775594075,40.43471018473307,0.3944916921027109,0.921279122432073
22,mean,65.25570074717204,41.257391929626465,0.3748843163701094,0.9360916018486023
23,mean,66.27254899342854,42.68745962778727,0.3549763826014755,0.9598247359196345
24,mean,67.27318127950032,42.815111796061196,0.3356990073125106,0.9815321018298467
