lead_hour,station,rmse,mae,r2,rmsle
1,mean,17.439481894175213,9.372090101242065,0.9547001461381842,0.31244124472141266
2,mean,26.000405470530193,14.74567143122355,0.9000483632817026,0.433283897737662
3,mean,30.698973019917805,17.387327671051025,0.8614754645792662,0.442865048845609
4,mean,34.04478232065836,19.400097211201984,0.8299225443332697,0.4648967956503232
5,mean,36.704819202423096,20.936492919921875,0.802539015675403,0.48655272275209427
6,mean,38.70439847310384,22.17556142807007,0.7805113371843059,0.5046257625023524
7,mean,40.258829752604164,23.14490270614624,0.7624655162943977,0.5220585192243258
8,mean,41.607048988342285,24.080440044403076,0.7461760618079154,0.5388032644987106
9,mean,42.64905707041422,24.71847740809123,0.7330319218031748,0.5459442287683487
10,mean,43.89401912689209,25.404234568277996,0.7172370954924926,0.5508568535248438
11,mean,45.10650157928467,26.262126127878826,0.7013372378401453,0.5831596553325653
12,mean,46.94149653116862,27.397896766662598,0.6766726484083367,0.6148433238267899
13,mean,48.720717430114746,28.41263024012248,0.6518775381859925,0.6391259282827377
14,mean,50.2048126856486,29.38633934656779,0.630313114172766,0.6654025167226791
15,mean,52.04041131337484,30.62282721201579,0.6030650620552613,0.7108716666698456
16,mean,54.10813776652018,31.773993651072185,0.5708242154494362,0.7422596663236618
17,mean,55.21191151936849,32.830756982167564,0.5527989579040405,0.7526052842537562
18,mean,56.41658020019531,33.6939484278361,0.5328071846616681,0.7760277936855952
19,mean,58.19135252634684,35.010921796162926,0.5029257189305787,0.8153932243585587
20,mean,59.687690099080406,36.124982833862305,0.47719325307287663,0.8358734746774038
21,mean,61.04408550262451,37.25927575429281,0.4530721465770404,0.8638343214988708
22,mean,62.302199363708496,38.32242997487386,0.43029402119754234,0.892342651883761
23,mean,63.67625077565511,39.47170066833496,0.40485852156020025,0.9171052426099777
24,mean,64.70667616526286,40.50441646575928,0.38542155284915686,0.9478493283192316
