factor,level,method,lead_hour,n,rmse,mae
wind_regime,mid_wind,HERMES,12,83844,47.686075516222616,28.499092540031604
wind_regime,high_wind,HERMES,12,83916,39.913478454360906,23.938764918041706
wind_regime,low_wind,HERMES,24,83880,69.62927876550455,41.62086938537611
wind_regime,mid_wind,HERMES,24,83988,64.09024660014981,40.392308418231956
wind_regime,high_wind,HERMES,24,83772,62.32393701207921,40.594009309094936
wind_regime,low_wind,Persistence,1,84060,21.342059075585734,11.213159915024175
wind_regime,mid_wind,Persistence,1,83808,19.06429120177765,9.938646800688042
wind_regime,high_wind,Persistence,1,83772,17.730883385927836,8.857549944096078
wind_regime,low_wind,Persistence,6,83880,59.22365316300899,35.22266331772948
wind_regime,mid_wind,Persistence,6,83808,53.1409629018633,30.8572227796465
wind_regime,high_wind,Persistence,6,83952,53.34730533019061,29.61961779647585
wind_regime,low_wind,Persistence,12,83880,76.97710479149201,47.82539972776337
wind_regime,mid_wind,Persistence,12,83844,69.55551106653911,41.839358105600795
wind_regime,high_wind,Persistence,12,83916,71.00754210570578,42.21345704680568
wind_regime,low_wind,Persistence,24,83880,90.51441078218784,60.178529730272906
wind_regime,mid_wind,Persistence,24,83988,81.77371780396892,54.55349475142785
wind_regime,high_wind,Persistence,24,83772,89.39791470008943,56.38280094316227
wind_regime,low_wind,STGCN,1,84060,25.42970811011604,15.55811880849073
wind_regime,mid_wind,STGCN,1,83808,22.623866669483093,13.600814618750604
wind_regime,high_wind,STGCN,1,83772,20.52299640826509,12.74040432058256
wind_regime,low_wind,STGCN,6,83880,51.813524371877385,30.556375645468446
wind_regime,mid_wind,STGCN,6,83808,43.93280516736234,27.122275081133516
wind_regime,high_wind,STGCN,6,83952,35.9871426000498,22.339726576995165
wind_regime,low_wind,STGCN,12,83880,60.75568650768689,35.88865263742609
wind_regime,mid_wind,STGCN,12,83844,51.94609409240459,31.590969986026053
wind_regime,high_wind,STGCN,12,83916,43.11967651253587,27.09078584970183
wind_regime,low_wind,STGCN,24,83880,74.53071984947657,45.670185229128236
wind_regime,mid_wind,STGCN,24,83988,65.7268046396419,42.14415322564446
wind_regime,high_wind,STGCN,24,83772,66.45429049864715,43.355173394797625
wind_regime,low_wind,Spatial CNN,1,84060,31.74716692225221,19.074335677207383
wind_regime,mid_wind,Spatial CNN,1,83808,27.146784516212865,16.473878798418177
wind_regime,high_wind,Spatial CNN,1,83772,24.144639550854187,14.874337312109985
wind_regime,low_wind,Spatial CNN,6,83880,48.15280477318954,27.660735052124796
wind_regime,mid_wind,Spatial CNN,6,83808,41.988562339626924,25.15566107544105
wind_regime,high_wind,Spatial CNN,6,83952,34.253511420708534,20.398922882982667
wind_regime,low_wind,Spatial CNN,12,83880,57.00468217107391,33.119300599190865
wind_regime,mid_wind,Spatial CNN,12,83844,49.35370539182019,29.471818975968123
wind_regime,high_wind,Spatial CNN,12,83916,43.63474730419167,25.793862732469403
wind_regime,low_wind,Spatial CNN,24,83880,72.87385582417726,44.56678713706487
wind_regime,mid_wind,Spatial CNN,24,83988,67.91854805134912,42.63174173185506
wind_regime,high_wind,Spatial CNN,24,83772,74.48224137562939,44.93726439275054
blh_regime,low_blh,AGCRN,1,83916,32.4967450696258,18.919655030441895
blh_regime,mid_blh,AGCRN,1,83880,25.25260606872065,15.152695554727933
blh_regime,high_blh,AGCRN,1,83844,23.243830539237774,14.117148926921384
blh_regime,low_blh,AGCRN,6,83772,48.32537706354057,28.544437614809457
blh_regime,mid_blh,AGCRN,6,83880,40.341366426151374,23.583466165575686
blh_regime,high_blh,AGCRN,6,83988,35.51783761672199,20.910607226909374
blh_regime,low_blh,AGCRN,12,83808,57.65077230649273,34.24622841676788
blh_regime,mid_blh,AGCRN,12,83916,48.9758810228334,28.345445226639093
blh_regime,high_blh,AGCRN,12,83916,45.09943692656473,25.992162609608624
blh_regime,low_blh,AGCRN,24,84024,74.5283730898615,47.03026446412373
blh_regime,mid_blh,AGCRN,24,83772,66.84251485325954,42.04500701369486
blh_regime,high_blh,AGCRN,24,83844,64.77270440573372,39.11237041395639
blh_regime,low_blh,BiLSTM-MA,1,83916,24.87859807196794,15.003276863869349
blh_regime,mid_blh,BiLSTM-MA,1,83880,21.341764468532546,13.158477564522011
blh_regime,high_blh,BiLSTM-MA,1,83844,18.733545582376625,11.997081301411477
blh_regime,low_blh,BiLSTM-MA,6,83772,51.9564477160973,31.206149140989485
blh_regime,mid_blh,BiLSTM-MA,6,83880,42.40030297656269,25.487606423695315
blh_regime,high_blh,BiLSTM-MA,6,83988,38.362752320640126,23.333629939210308
blh_regime,low_blh,BiLSTM-MA,12,83808,60.36028595742599,36.79676916241879
blh_regime,mid_blh,BiLSTM-MA,12,83916,51.652796778230105,30.602188692980643
blh_regime,high_blh,BiLSTM-MA,12,83916,48.20717475209127,28.661633246848407
blh_regime,low_blh,BiLSTM-MA,24,84024,77.58138591235537,48.798801997678794
blh_regime,mid_blh,BiLSTM-MA,24,83772,67.11001235844006,42.1098870588258
blh_regime,high_blh,BiLSTM-MA,24,83844,61.83677573238626,38.11057131382483
blh_regime,low_blh,GRU+RNN,1,83916,23.859612232406466,14.214270430272855
blh_regime,mid_blh,GRU+RNN,1,83880,20.23400426264534,11.99308825974585
blh_regime,high_blh,GRU+RNN,1,83844,17.902435308853732,11.097708929378985
blh_regime,low_blh,GRU+RNN,6,83772,50.58472796399833,31.027694040856492
blh_regime,mid_blh,GRU+RNN,6,83880,42.45290433804352,25.671278804844768
blh_regime,high_blh,GRU+RNN,6,83988,38.63496294293119,23.07472069584688
blh_regime,low_blh,GRU+RNN,12,83808,58.505904821911734,36.13357447546918
blh_regime,mid_blh,GRU+RNN,12,83916,50.620461714291146,30.441662833801335
blh_regime,high_blh,GRU+RNN,12,83916,47.86989332389792,28.44011772483256
blh_regime,low_blh,GRU+RNN,24,84024,75.02551401877308,47.98068540978237
blh_regime,mid_blh,GRU+RNN,24,83772,65.02315773909953,41.903780630246416
blh_regime,high_blh,GRU+RNN,24,83844,60.941273016097895,38.15978300074523
blh_regime,low_blh,Graph WaveNet,1,83916,24.284271948618674,14.683491965159089
blh_regime,mid_blh,Graph WaveNet,1,83880,20.783550380377527,12.632590941781366
blh_regime,high_blh,Graph WaveNet,1,83844,18.874760738684024,11.878407991479573
blh_regime,low_blh,Graph WaveNet,6,83772,47.88449339971535,28.337631644558805
blh_regime,mid_blh,Graph WaveNet,6,83880,39.35606950200976,22.727468831593445
blh_regime,high_blh,Graph WaveNet,6,83988,35.27169039131879,20.359412914641716
blh_regime,low_blh,Graph WaveNet,12,83808,56.96190261909848,34.297926833277764
blh_regime,mid_blh,Graph WaveNet,12,83916,47.67214659887604,27.873423404060084
blh_regime,high_blh,Graph WaveNet,12,83916,43.9248413949961,25.13651074163452
blh_regime,low_blh,Graph WaveNet,24,84024,77.39839716600639,47.29449472348031
blh_regime,mid_blh,Graph WaveNet,24,83772,65.49956114361564,41.00945093868905
blh_regime,high_blh,Graph WaveNet,24,83844,60.68994087807848,37.46375241330957
blh_regime,low_blh,HERMES,1,83916,20.732254195211656,11.38299568509219
blh_regime,mid_blh,HERMES,1,83880,17.04208425159952,9.212286873716767
blh_regime,high_blh,HERMES,1,83844,14.85531978084296,8.240178497402866
blh_regime,low_blh,HERMES,6,83772,45.647240161131585,26.914956344262308
blh_regime,mid_blh,HERMES,6,83880,37.07124448690753,21.006930656906647
blh_regime,high_blh,HERMES,6,83988,33.79475052044474,19.144990335822236
blh_regime,low_blh,HERMES,12,83808,53.8467473227345,32.570533155838795
blh_regime,mid_blh,HERMES,12,83916,45.225599466021514,26.42657287718229
blh_regime,high_blh,HERMES,12,83916,43.3014106159881,24.94583491403067
blh_regime,low_blh,HERMES,24,84024,73.09386562214029,45.23399202008622
blh_regime,mid_blh,HERMES,24,83772,63.3340409502037,40.299836384972885
blh_regime,high_blh,HERMES,24,83844,59.02483121287419,37.063239255994965
blh_regime,low_blh,Persistence,1,83916,22.10196174711799,11.845625893915908
blh_regime,mid_blh,Persistence,1,83880,18.74568165439425,9.62870062935847
blh_regime,high_blh,Persistence,1,83844,17.134603628676334,8.537737418794148
blh_regime,low_blh,Persistence,6,83772,62.166554052322454,37.65775986423706
blh_regime,mid_blh,Persistence,6,83880,52.396558294574795,30.15932156401813
blh_regime,high_blh,Persistence,6,83988,50.684765399037694,27.893931596428008
blh_regime,low_blh,Persistence,12,83808,82.0715474327534,51.394510348125834
blh_regime,mid_blh,Persistence,12,83916,70.04353494811504,41.8099481854745
blh_regime,high_blh,Persistence,12,83916,64.54188580658088,38.683485825379215
blh_regime,low_blh,Persistence,24,84024,89.12328507184561,60.76702103846177
blh_regime,mid_blh,Persistence,24,83772,90.84366941244716,58.82336053345713
blh_regime,high_blh,Persistence,24,83844,81.69717444572397,51.51561539554794
blh_regime,low_blh,STGCN,1,83916,25.990694903202474,15.61560919289196
blh_regime,mid_blh,STGCN,1,83880,22.0931515248924,13.465082470944056
blh_regime,high_blh,STGCN,1,83844,20.4052454377311,12.822755482328068
blh_regime,low_blh,STGCN,6,83772,52.13819500064774,31.476320289573078
blh_regime,mid_blh,STGCN,6,83880,41.795111390105454,25.241088259394928
blh_regime,high_blh,STGCN,6,83988,38.02207258973806,23.30738150970694
blh_regime,low_blh,STGCN,12,83808,61.16323183798962,37.46038000752318
blh_regime,mid_blh,STGCN,12,83916,49.584774214649556,29.681518068311156
blh_regime,high_blh,STGCN,12,83916,45.28003637410774,27.43422062787009
blh_regime,low_blh,STGCN,24,84024,78.99778190753815,50.140901467798265
blh_regime,mid_blh,STGCN,24,83772,67.00999121591853,43.1304553139348
blh_regime,high_blh,STGCN,24,83844,59.63636372983417,37.882308290091856
blh_regime,low_blh,Spatial CNN,1,83916,32.45440890179632,19.322543131295966
blh_regime,mid_blh,Spatial CNN,1,83880,26.532593334957035,16.010482150003575
blh_regime,high_blh,Spatial CNN,1,83844,23.897692145231584,15.09535213641797
blh_regime,low_blh,Spatial CNN,6,83772,48.18354950353797,28.584105696997145
blh_regime,mid_blh,Spatial CNN,6,83880,39.58777082836782,23.18427147950993
blh_regime,high_blh,Spatial CNN,6,83988,36.97177366884429,21.452041711968548
blh_regime,low_blh,Spatial CNN,12,83808,55.76135445220317,34.031641136849196
blh_regime,mid_blh,Spatial CNN,12,83916,48.08665829241465,27.86127468509467
blh_regime,high_blh,Spatial CNN,12,83916,46.563672446891275,26.49637021149294
blh_regime,low_blh,Spatial CNN,24,84024,77.51514613186856,48.53233689783948
blh_regime,mid_blh,Spatial CNN,24,83772,71.70507340528289,44.11656081789044
blh_regime,high_blh,Spatial CNN,24,83844,65.71051300102556,39.47435396690472
